timestamp,water_level_nutrient_a,water_level_nutrient_b,water_level_nutrient_c,water_level_distilled,water_level_nutrient_rich,ph_level,ec_level,co2_level,temperature,humidity,airflow_rate,par_level,energy_usage
01/09/2024 00:00,152.4835708,146.5390088,158.3144063,488.8854204,427.6176877,5.635212903,1.598012636,407.4864372,22.54414589,63.46608801,1.213965167,865.5302956,58.08522462
01/09/2024 01:00,149.3086785,136.449158,160.8673693,502.4650478,428.7929985,5.65617811,1.589273523,374.6159375,23.27496667,49.86161364,1.206502463,858.5550986,46.147876
01/09/2024 02:00,153.2384427,138.2590729,155.9051078,504.9822175,443.9313482,6.209962419,1.72202829,397.4442135,21.0280111,55.56979877,1.281328041,737.1717332,55.71680765
01/09/2024 03:00,157.6151493,148.7163205,148.5158403,511.4014904,454.5768659,5.800136564,1.492332087,387.8076461,20.39277458,58.3371031,1.115614612,864.4601526,50.92429327
01/09/2024 04:00,148.8292331,145.8543272,156.9984398,515.8054069,422.5249516,5.956426,1.523748076,412.4208822,22.66081194,63.51570099,1.02563274,784.0920749,51.26097427
01/09/2024 05:00,148.8293152,144.0800833,151.7432155,489.8490581,445.0026982,5.641820124,1.703630289,416.0662075,22.02173047,72.49215242,1.215682302,830.0366508,40.14845709
01/09/2024 06:00,157.8960641,145.0921697,152.3569166,491.8914249,444.7375214,5.644029411,1.540446506,368.8827047,23.43965201,58.85997137,1.228123049,754.6892334,38.98543323
01/09/2024 07:00,153.8371736,146.7379085,157.9318201,487.4242214,463.8833778,6.016396962,1.690053308,399.669477,22.38013732,52.96511269,1.348959941,807.0989957,48.8971703
01/09/2024 08:00,147.6526281,142.3012016,161.1914154,497.6598014,446.1497819,5.530084758,1.769943598,416.8279226,22.80761301,62.01134039,1.072963795,815.6861591,51.23453032
01/09/2024 09:00,152.7128002,141.1084764,155.1063579,504.6635837,453.8298898,5.716957246,1.559820497,397.1998156,20.06492621,66.60497895,1.315469377,725.7697604,44.37401086
